日期,三月期收益率,六月期收益率,一年期收益率,二年期收益率,三年期收益率,五年期收益率,七年期收益率,十年期收益率,二十年期收益率,三十年期收益率
2015/10/15,0.023395,0.023249,0.02419,0.025908,0.027751,0.029059,0.031143,0.030814,0.036847,0.038155
2015/10/16,0.023425,0.024023,0.02432,0.02635,0.028315,0.02966,0.031446,0.031216,0.037249,0.038557
2015/10/19,0.023513,0.023547,0.024286,0.026236,0.028122,0.029676,0.031372,0.031214,0.036999,0.038057
2015/10/20,0.02358,0.023548,0.024255,0.02614,0.02792,0.029058,0.030796,0.030615,0.03662,0.037612
2015/10/21,0.023516,0.02355,0.024273,0.026112,0.027872,0.029087,0.030698,0.030615,0.036621,0.037613
2015/10/22,0.023537,0.023722,0.024234,0.026059,0.027827,0.028962,0.030744,0.030516,0.036621,0.037613
2015/10/23,0.023516,0.023636,0.024454,0.026099,0.027778,0.028865,0.030598,0.0304,0.036825,0.037817
2015/10/26,0.023708,0.023764,0.024237,0.025905,0.027533,0.028562,0.030156,0.0302,0.036625,0.037618
2015/10/27,0.02388,0.023547,0.023748,0.025492,0.027139,0.028112,0.029772,0.0298,0.036226,0.037218
2015/10/28,0.023628,0.02328,0.023698,0.025544,0.027247,0.028215,0.029949,0.02987,0.036296,0.037288
2015/10/29,0.023414,0.023655,0.023683,0.025434,0.027158,0.028915,0.030501,0.0305,0.036713,0.037487
2015/10/30,0.023564,0.023866,0.023513,0.02548,0.02738,0.029112,0.030573,0.0306,0.036813,0.037587
2015/11/2,0.023254,0.023774,0.024032,0.025614,0.027159,0.029032,0.03055,0.030525,0.036738,0.037512
2015/11/3,0.023388,0.023847,0.024284,0.025845,0.027414,0.029284,0.0308,0.0308,0.037018,0.037792
2015/11/4,0.023516,0.024039,0.024312,0.026075,0.027809,0.029734,0.031163,0.031351,0.037569,0.038343
2015/11/5,0.023216,0.023845,0.024342,0.026099,0.027618,0.029657,0.0314,0.03115,0.037369,0.038143
2015/11/6,0.023649,0.023955,0.02463,0.026186,0.027781,0.029647,0.031349,0.03125,0.037129,0.037909
2015/11/9,0.024834,0.024628,0.025389,0.026887,0.028381,0.030479,0.032499,0.032099,0.037978,0.038758
2015/11/10,0.025145,0.024575,0.02555,0.026964,0.028431,0.030523,0.031973,0.032001,0.037879,0.038659
2015/11/11,0.024567,0.02458,0.025616,0.026978,0.028405,0.030195,0.031424,0.031226,0.037379,0.038159
2015/11/12,0.025204,0.024457,0.025499,0.02687,0.028196,0.030058,0.0314,0.031351,0.037504,0.038284
2015/11/13,0.025204,0.024494,0.025589,0.026953,0.028329,0.029836,0.031349,0.03125,0.037404,0.038184
2015/11/16,0.025469,0.024607,0.02604,0.027108,0.028314,0.029792,0.031307,0.031351,0.037504,0.038284
2015/11/17,0.025224,0.024628,0.025911,0.027096,0.028379,0.029948,0.031366,0.031252,0.037403,0.038183
2015/11/18,0.025222,0.025164,0.025907,0.027156,0.028375,0.030119,0.031599,0.031402,0.037553,0.038333
2015/11/19,0.025093,0.02514,0.025948,0.027308,0.028638,0.030021,0.031797,0.031402,0.037553,0.038333
2015/11/20,0.025043,0.025495,0.025764,0.02719,0.028573,0.029786,0.031648,0.031251,0.037403,0.038415
2015/11/23,0.025252,0.025493,0.025849,0.027259,0.028636,0.029892,0.031649,0.031302,0.037453,0.038466
2015/11/24,0.025307,0.025468,0.025676,0.027094,0.028455,0.029638,0.031399,0.031077,0.037228,0.038241
2015/11/25,0.025211,0.025497,0.025802,0.02725,0.0286,0.02941,0.031298,0.030852,0.037004,0.038017
2015/11/26,0.024969,0.025305,0.025639,0.027235,0.028513,0.02909,0.030899,0.030503,0.036957,0.038273
2015/11/27,0.025169,0.025504,0.025738,0.027127,0.028336,0.029005,0.030799,0.030603,0.037057,0.038373
2015/11/30,0.025701,0.025706,0.025754,0.02715,0.028277,0.028843,0.030475,0.030404,0.036857,0.038173
2015/12/1,0.025743,0.025829,0.025754,0.026881,0.027925,0.028884,0.0305,0.030504,0.036957,0.038273
2015/12/2,0.025499,0.025523,0.025656,0.026813,0.027885,0.029003,0.030649,0.030454,0.036907,0.038223
2015/12/3,0.025627,0.025671,0.025506,0.026353,0.027152,0.028655,0.030449,0.030304,0.036757,0.038073
2015/12/4,0.025033,0.025221,0.025351,0.026213,0.027071,0.028661,0.030251,0.030254,0.036722,0.038038
2015/12/7,0.025098,0.025029,0.025201,0.026241,0.027242,0.028651,0.030399,0.03028,0.036747,0.038064
2015/12/8,0.024713,0.024739,0.024911,0.026053,0.027099,0.028393,0.030199,0.030005,0.036472,0.037789
2015/12/9,0.024516,0.02471,0.024866,0.026014,0.027106,0.028226,0.03005,0.029968,0.036435,0.037752
2015/12/10,0.024411,0.024528,0.024841,0.025973,0.027115,0.028277,0.030025,0.030018,0.036485,0.037802
2015/12/11,0.023967,0.024029,0.024644,0.025853,0.02706,0.028178,0.029907,0.029931,0.036398,0.037715
2015/12/14,0.024019,0.024365,0.024523,0.026006,0.027332,0.028434,0.0303,0.030306,0.036773,0.03809
